centre,heading,left_centre,left_angle,right_centre,right_angle,tracked
"(489.76190476190476, 725.18809523809523)",-0.527116344704,"(521.08333333333326, 695.9457831325301)",-0.284333969734,"(530.2389380530974, 712.64011799410025)",-0.98216621208,True
"(489.76190476190476, 725.18809523809523)",-0.527833030972,"(521.06564102564096, 695.88717948717942)",-0.290008689037,"(530.2389380530974, 712.64011799410025)",-0.98216621208,True
"(489.84377967711299, 725.13675213675219)",-0.527917730697,"(521.13477366255142, 695.81995884773664)",-0.28148347272,"(530.21994134897363, 712.66275659824043)",-1.01179851991,True
"(489.91170915958446, 725.08545797922568)",-0.527405324677,"(521.18609406952964, 695.81492842535783)",-0.274070065284,"(530.33628318584067, 712.59587020648962)",-1.03062081554,True
"(489.91170915958446, 725.08545797922568)",-0.527405324677,"(521.18609406952964, 695.81492842535783)",-0.274070065284,"(530.33628318584067, 712.59587020648962)",-1.03062081554,True
"(490.13834726090988, 724.9442896935933)",-0.526230189831,"(521.2361963190184, 695.87934560327199)",-0.284501492603,"(530.41885325558792, 712.54810495626828)",-0.998221574855,True
"(490.13834726090988, 724.9442896935933)",-0.526244634897,"(521.37254901960773, 695.79876160990716)",-0.284648673553,"(530.41885325558792, 712.54810495626828)",-0.998221574855,True
"(489.87079731027853, 725.12151777137365)",-0.527462262836,"(521.37254901960773, 695.79876160990716)",-0.284648673553,"(530.55825734549137, 712.39311043566352)",-0.961707374167,True
"(490.06514503090818, 724.99001426533528)",-0.52521581755,"(521.43030303030298, 695.83636363636367)",-0.268912642777,"(530.7363184079602, 712.39800995024871)",-0.926355579386,True
"(490.18676122931436, 724.94704491725759)",-0.527139407228,"(521.55861365953103, 695.63200815494395)",-0.299787222058,"(530.7363184079602, 712.39800995024871)",-0.926355579386,True
"(490.22143195827402, 724.9170222854433)",-0.526771977493,"(521.55861365953103, 695.63200815494395)",-0.299787222058,"(530.7797797797798, 712.38838838838831)",-0.94377792018,True
"(490.48219178082189, 724.80228310502275)",-0.528722225409,"(521.61515151515152, 695.5181818181818)",-0.304177110411,"(530.80239520958082, 712.34331337325341)",-0.949233475956,True
"(490.39074074074074, 724.95092592592584)",-0.532751221593,"(521.6358024691358, 695.33641975308637)",-0.29200392699,"(530.75323383084572, 712.34427860696508)",-0.949918915686,True
"(490.41411327762302, 724.92154131847724)",-0.532427561882,"(521.6358024691358, 695.33641975308637)",-0.29200392699,"(530.75323383084572, 712.34427860696508)",-0.949918915686,True
"(490.72214580467676, 724.72902338376889)",-0.5315783405,"(521.67664670658678, 695.42514970059881)",-0.253818053221,"(530.8773491592483, 712.21760633036592)",-0.957741810519,True
"(490.644289044289, 724.77109557109554)",-0.531500958129,"(521.67664670658678, 695.42514970059881)",-0.253818053221,"(530.8773491592483, 712.21760633036592)",-0.957741810519,True
"(490.77480018805829, 724.71274094969442)",-0.531388437245,"(521.69393939393944, 695.40909090909088)",-0.278773709484,"(530.94228855721394, 712.2328358208955)",-0.944979982898,True
"(490.6685878962536, 724.806916426513)",-0.530962726015,"(521.74666666666667, 695.4348717948717)",-0.272394225381,"(530.97467071935159, 712.26139817629178)",-0.973421035167,True
"(490.87827715355803, 724.6910112359551)",-0.532365164112,"(521.74646464646457, 695.37171717171714)",-0.274429753561,"(530.963184079602, 712.21194029850744)",-0.962582935561,True
"(490.87827715355803, 724.6910112359551)",-0.53125326719,"(521.83384615384614, 695.3579487179486)",-0.282591314083,"(531.01393034825867, 712.25074626865671)",-0.934068788182,True
"(491.11719106247142, 724.5832193342452)",-0.53108511445,"(521.88588588588584, 695.43943943943941)",-0.313747600533,"(531.08699902248281, 712.17693059628539)",-0.94773045372,True
"(490.97605633802817, 724.61830985915492)",-0.530743361935,"(521.88588588588584, 695.43943943943941)",-0.313747600533,"(531.17895771878068, 712.05998033431661)",-0.957866959261,True
"(490.97605633802817, 724.61830985915492)",-0.532033258272,"(521.95833333333326, 695.27337398373982)",-0.299062428919,"(531.17895771878068, 712.05998033431661)",-0.957866959261,True
"(491.01289134438304, 724.52762430939231)",-0.532388864668,"(521.84437751004009, 695.25200803212851)",-0.270941621694,"(531.17687074829928, 711.97764820213797)",-0.984027530082,True
"(491.13834726090988, 724.47493036211699)",-0.530877568,"(522.01626016260161, 695.28861788617883)",-0.294594161904,"(531.2202556538839, 712.00098328416902)",-1.00719381718,True
"(491.16410971641091, 724.55834495583451)",-0.532941982676,"(522.01626016260161, 695.28861788617883)",-0.294594161904,"(531.2202556538839, 712.00098328416902)",-1.00719381718,True
"(491.05225988700568, 724.65536723163837)",-0.533576249619,"(522.11248710010318, 695.16924664602675)",-0.334850035883,"(531.27227227227229, 712.03403403403399)",-1.02362232232,True
"(491.06090651558071, 724.66997167138811)",-0.534197766162,"(522.11248710010318, 695.16924664602675)",-0.334850035883,"(531.26326326326318, 712.01901901901897)",-1.01310082163,True
"(491.0619509939898, 724.79657882570507)",-0.53750401071,"(522.130081300813, 695.20325203252025)",-0.323757108629,"(531.24975417895769, 711.91838741396259)",-1.02814416398,True
"(491.18508026440031, 724.77856468366383)",-0.539275753934,"(522.19919919919914, 695.13613613613609)",-0.317860561708,"(531.21932367149759, 711.90241545893718)",-1.00935208582,True
"(491.1417023300047, 724.77223014740844)",-0.538606954146,"(522.19919919919914, 695.13613613613609)",-0.317860561708,"(531.21932367149759, 711.90241545893718)",-1.00935208582,True
"(490.91101491101489, 724.83116883116884)",-0.538987578048,"(521.94705882352946, 695.12843137254902)",-0.261936125866,"(531.11431316042263, 711.92891450528327)",-1.00325454671,True
"(491.11351611351608, 724.70658970658963)",-0.541831344705,"(521.81755424063113, 695.11439842209074)",-0.264314496636,"(531.02571428571423, 711.79333333333329)",-1.03309558084,True
"(491.2909836065574, 724.55100182149351)",-0.539583333836,"(521.82947976878609, 695.21290944123314)",-0.28699554769,"(530.98314606741576, 711.83052434456931)",-1.01203913081,True
"(491.22674146797561, 724.26741467975683)",-0.538503064534,"(521.74650698602784, 695.05389221556891)",-0.280882744934,"(530.72592592592582, 711.6518518518518)",-0.967773803328,True
"(491.15635491606707, 724.13908872901675)",-0.540316025928,"(521.55654761904759, 694.91567460317458)",-0.268482165915,"(530.77969348658996, 711.35823754789271)",-0.875828844577,True
"(491.31708449396467, 723.91504178272976)",-0.536961711404,"(521.59356725146199, 694.88499025341127)",-0.258034248864,"(530.70028011204477, 711.47619047619048)",-0.902882077179,True
"(491.1208633093525, 723.69928057553955)",-0.532705766867,"(521.97997997997993, 694.55655655655653)",-0.306266904872,"(530.98270893371762, 711.14793467819402)",-0.940334168911,True
"(491.30250481695566, 723.26204238921002)",-0.529007964081,"(522.46107784431138, 694.09880239520953)",-0.203212701448,"(531.14069877242684, 710.9216241737488)",-0.980524067127,True
"(491.92191780821918, 722.86894977168936)",-0.532475244858,"(522.97704590818353, 693.79940119760477)",-0.205111568961,"(531.67307692307691, 710.21611721611714)",-0.95862655611,True
"(492.80262541022029, 722.29488982653538)",-0.532467253284,"(523.45598417408507, 693.43422354104837)",-0.2409570003,"(532.45714285714291, 709.72761904761899)",-1.00912058675,True
"(493.11861228316923, 722.19081106422868)",-0.526182909237,"(524.43274853801165, 693.24171539961014)",-0.260578105744,"(533.11142857142852, 709.72476190476186)",-1.01363671918,True
"(494.43636363636364, 721.80093240093231)",-0.522744127317,"(525.35672514619887, 693.24756335282643)",-0.228797401111,"(534.01988636363637, 709.72916666666663)",-1.00772345447,True
"(495.10514233241503, 722.03122130394854)",-0.52373987068,"(526.32560386473426, 693.24927536231883)",-0.28768061711,"(535.00837988826811, 709.73649906890125)",-1.01013571434,True
"(495.90154711673699, 722.09329582747307)",-0.525060778882,"(527.27956989247309, 693.18475073313778)",-0.268927040344,"(535.81171171171161, 709.70450450450437)",-0.96515994214,True
"(496.81137309292649, 722.1650485436893)",-0.52358288159,"(528.34393063583821, 693.40366088631981)",-0.252713586523,"(536.80978260869563, 709.62952898550725)",-0.933948789493,True
"(497.28807785888074, 722.51922141119212)",-0.534871810768,"(529.1213047910295, 693.03058103975536)",-0.232224996488,"(537.60734463276833, 709.25894538606406)",-0.8935213655,True
"(497.77433628318585, 722.56145526057026)",-0.545813328475,"(529.54130223517973, 692.48202137998055)",-0.271627166941,"(538.60245514636449, 708.54957507082156)",-0.946285809783,True
"(499.01451310861421, 721.8071161048689)",-0.554921128439,"(529.67748279252703, 692.09439528023597)",-0.337706023246,"(539.26143790849665, 707.56302521008399)",-0.953202216771,True
"(500.08838740009395, 720.95768688293367)",-0.575920215037,"(529.85601577909267, 690.78599605522675)",-0.328876903095,"(539.35112359550567, 706.30430711610484)",-0.906594999162,True
"(500.91326067211622, 719.81925522252482)",-0.589592862678,"(530.16182170542629, 689.26647286821708)",-0.33449391556,"(540.10651974288339, 704.58677685950408)",-1.00850488884,True
"(501.95650183150178, 718.43086080586079)",-0.604213358011,"(530.76647834274945, 687.27589453860639)",-0.306043358441,"(540.79522497704318, 702.88521579430665)",-0.971209552745,True
"(502.9173630454967, 716.94986072423399)",-0.614994020589,"(531.34879227053136, 685.61256038647332)",-0.242563247251,"(541.76589595375719, 700.76204238921002)",-0.999314344654,True
"(503.59560542309487, 715.40906965871898)",-0.620136581048,"(531.5, 684.02380952380952)",-0.264773099809,"(542.24828934506354, 699.26490713587486)",-0.932634782638,True
"(504.21191135734074, 714.23499538319481)",-0.626468302545,"(532.21709894332366, 682.58021133525449)",-0.283506668083,"(542.69307832422589, 697.77231329690346)",-1.03163429062,True
"(504.45073664825043, 713.0372928176796)",-0.620031588381,"(532.48837209302326, 681.39244186046517)",-0.246162333116,"(543.25577100646342, 696.95937211449666)",-0.93732315944,True
"(504.94314534617143, 712.09536909674455)",-0.61258162906,"(533.44318181818187, 680.53693181818187)",-0.290243245162,"(544.20941402497601, 696.02977905859746)",-0.998920710381,True
"(506.03959484346217, 711.09392265193367)",-0.606469445536,"(534.56725146198835, 679.76608187134502)",-0.269719814623,"(545.27556818181813, 695.41571969696963)",-1.02608385909,True
"(507.09048938134811, 710.2853185595568)",-0.598970192034,"(535.81286549707602, 679.16666666666663)",-0.232644076332,"(546.70593869731795, 694.75478927203062)",-0.984066256891,True
"(508.71212121212119, 709.49449035812677)",-0.590847726512,"(537.69921104536479, 678.36291913214984)",-0.298958438152,"(548.69284994964744, 694.36354481369585)",-0.919476778715,True
"(510.84852670349903, 708.79558011049721)",-0.590279190936,"(539.6686686686686, 677.89889889889889)",-0.28911074609,"(550.51436781609198, 693.80938697318004)",-0.937577410376,True
"(513.27146814404432, 707.94228993536467)",-0.587906672323,"(541.71371371371367, 677.30730730730727)",-0.206623961894,"(552.61499493414385, 693.39614994934141)",-0.949013991272,True
"(515.4086021505376, 707.34587813620067)",-0.589180939333,"(543.3362658846529, 676.84359726295202)",-0.259438645144,"(554.15060240963851, 693.28815261044178)",-0.950614998274,True
"(516.0678346810422, 707.39937106918228)",-0.586100623873,"(545.13659531090718, 676.35066258919471)",-0.157802559733,"(556.01543209876547, 692.62654320987656)",-0.903783626041,True
"(517.59208731241472, 706.9704411095953)",-0.594230578258,"(546.31218529707951, 675.87411883182267)",-0.221667395885,"(557.07849133537206, 691.97961264016305)",-0.933076602852,True
"(518.71910624714997, 706.48426812585501)",-0.603629906285,"(547.29948717948707, 674.89333333333332)",-0.225874216623,"(558.00602409638554, 691.28212851405624)",-0.914100647629,True
"(520.4727979274611, 705.12823834196888)",-0.610118805585,"(548.27526881720428, 673.87096774193549)",-0.244989846397,"(559.19351570415392, 689.87943262411341)",-0.956634829854,True
"(520.89908256880733, 704.5246832678024)",-0.60955124303,"(549.18679050567584, 672.88028895768832)",-0.272989253494,"(560.0980392156863, 689.04643962848297)",-0.924942947663,True
"(521.99909049567987, 703.16462028194633)",-0.61015838757,"(550.17494824016558, 671.41200828157343)",-0.287662347643,"(561.40416666666658, 687.66770833333328)",-0.971298310562,True
"(523.34344711335859, 701.49178255372942)",-0.611141383133,"(551.39007092198574, 669.9463019250253)",-0.214704261202,"(562.44906033630059, 685.98911968348159)",-0.979961704211,True
"(524.59770114942523, 699.9372236958443)",-0.609535712545,"(552.48465608465608, 668.61587301587304)",-0.230177699705,"(563.71001031991739, 684.47781217750253)",-0.98721084867,True
"(525.67595048629528, 698.55747126436768)",-0.605868686488,"(553.53128205128201, 667.2871794871794)",-0.239012543961,"(564.82976554536185, 683.4046890927624)",-0.93676597145,True
"(526.56873315363885, 697.23674752920033)",-0.601705007872,"(554.46604938271605, 666.08950617283949)",-0.236566741985,"(565.77912867274563, 682.30496453900707)",-0.937634401225,True
"(527.58604247941048, 696.19159081057637)",-0.5990003841,"(555.45098039215679, 665.21568627450972)",-0.206793231235,"(566.86505538771394, 681.33031218529698)",-0.940542494743,True
"(528.15330705212432, 695.68243539202797)",-0.601279604917,"(556.37898089171972, 664.14649681528658)",-0.210541284155,"(567.92938733125641, 680.56801661474549)",-0.922911686129,True
"(529.51614310645721, 694.870855148342)",-0.606628111961,"(557.32500000000005, 663.68645833333335)",-0.193600302061,"(568.86745796241337, 679.45202769535103)",-0.940295190807,True
"(530.8835078534031, 694.22338568935425)",-0.61314135593,"(558.4238551650692, 662.64217252396168)",-0.214983328777,"(569.92627206645898, 678.95638629283485)",-0.951390353283,True
"(531.6815315315315, 694.00315315315311)",-0.618309153312,"(559.37025316455697, 662.06645569620252)",-0.260861179196,"(571.21047008547009, 678.12393162393164)",-1.02137655487,True
"(532.83241252302025, 693.31537753222835)",-0.623291244528,"(560.37812499999995, 661.02812500000005)",-0.26977880407,"(572.40740740740739, 677.35026455026446)",-1.01525124311,True
"(534.31369924141006, 692.55644801427934)",-0.628036263089,"(561.30546623794214, 660.70739549839232)",-0.223333506428,"(573.3938428874734, 676.42993630573244)",-0.988688713891,True
"(534.85787751285648, 692.25666199158491)",-0.626604902863,"(562.42051282051284, 659.94564102564095)",-0.289010766233,"(574.35661375661368, 676.02010582010575)",-0.976477851671,True
"(536.17277250113068, 691.11488014473082)",-0.625050319341,"(563.51274209989799, 659.06625891946987)",-0.243669969413,"(575.25600835945659, 675.23510971786834)",-0.965723957311,True
"(536.87217705510386, 690.73803071364046)",-0.629535867151,"(563.93690851735016, 658.76340694006308)",-0.294831173653,"(575.92717948717939, 674.55076923076922)",-0.96471397217,True
"(537.46499768196566, 690.2109411219285)",-0.627688197768,"(564.79035639412996, 657.99895178197062)",-0.272803957115,"(576.68803418803418, 674.13675213675208)",-0.977843610862,True
"(537.58415377402719, 690.18096577590245)",-0.63068878635,"(565.38141025641028, 657.60363247863245)",-0.248290699068,"(576.99490316004074, 673.68501529051991)",-1.00577404597,True
"(538.42675736961451, 689.49387755102043)",-0.627490599462,"(565.97812499999998, 657.28437499999995)",-0.243588635468,"(577.64895833333333, 673.27395833333333)",-0.95263197658,True
"(539.13839080459763, 688.91816091954013)",-0.630983965509,"(566.46170442286939, 656.62459546925561)",-0.228420162031,"(578.33855799373043, 672.60815047021947)",-1.01239204354,True
"(539.23611111111109, 688.86388888888894)",-0.633039311066,"(566.61650992685475, 656.49007314524545)",-0.261718918544,"(578.44678714859435, 672.37449799196781)",-1.00998091271,True
"(539.69747899159665, 688.43230625583567)",-0.631622069785,"(567.33333333333337, 656.01572327044028)",-0.285056780431,"(579.14723926380373, 671.76891615541922)",-0.978222403076,True
"(540.54183813443069, 687.72748056698674)",-0.633175942203,"(568.04656084656085, 655.25608465608468)",-0.262815919423,"(579.75051759834366, 671.231884057971)",-0.931272568876,True
"(540.34528933524621, 687.8593974175036)",-0.632480052904,"(568.17287784679081, 655.195652173913)",-0.263078280401,"(579.81025641025633, 671.20307692307688)",-0.915892716217,True
"(541.13785154449045, 687.29414476717375)",-0.634356203934,"(568.4346917450365, 654.96029258098213)",-0.270642958577,"(580.27639751552795, 670.74430641821948)",-1.02169884636,True
"(541.67086834733891, 686.88842203548086)",-0.636736616805,"(568.94588744588737, 654.35497835497824)",-0.261774037125,"(580.90740740740739, 670.23765432098764)",-0.936233611486,True
"(541.67086834733891, 686.88842203548086)",-0.636442603109,"(569.03194888178916, 654.32161874334395)",-0.265378746144,"(580.90740740740739, 670.23765432098764)",-0.936233611486,True
"(542.1365171249397, 686.5759768451519)",-0.636618790595,"(569.43396226415098, 653.9905660377359)",-0.274856370681,"(581.38110072689506, 669.96677050882647)",-1.01952225703,True
"(542.54778887303848, 686.23204945316206)",-0.636078005681,"(570.04934210526312, 653.58771929824559)",-0.239021419143,"(581.91590678824718, 669.49544072948333)",-0.960187260544,True
"(542.54778887303848, 686.23204945316206)",-0.635739340762,"(570.11943539630829, 653.54071661237788)",-0.261151991614,"(582.02602602602599, 669.44444444444446)",-0.938533606925,True
"(542.91543026706233, 685.96241345202759)",-0.636904004121,"(570.51886792452831, 653.1823899371069)",-0.248401400893,"(582.27148846960165, 669.20964360587004)",-0.969638134306,True
"(543.44510385756678, 685.4831849653807)",-0.63666504331,"(570.75908618899268, 652.97923156801653)",-0.278620687754,"(582.81927710843377, 668.67971887550198)",-0.966514477386,True
"(543.44510385756678, 685.4831849653807)",-0.63657219522,"(570.79153766769866, 652.94530443756446)",-0.294281667147,"(582.85928143712579, 668.66966067864269)",-0.953756799417,True
"(544.13615023474176, 685.04225352112678)",-0.638378206692,"(571.36635706914342, 652.58823529411768)",-0.266168506023,"(583.04761904761904, 668.41742654508607)",-0.906010120776,True
"(544.52374031007753, 684.78197674418607)",-0.641750515476,"(571.6718587746625, 652.07892004153678)",-0.289921683806,"(583.66058763931096, 667.95238095238085)",-0.949983378883,True
"(544.52374031007753, 684.78197674418607)",-0.642433758782,"(571.6718587746625, 652.07892004153678)",-0.289921683806,"(583.74579624134515, 667.81800197823929)",-0.952697152858,True
"(544.57642998027609, 684.72534516765279)",-0.641361265059,"(572.25972660357513, 651.76656151419559)",-0.303999335952,"(584.02108433734941, 667.56224899598385)",-0.940530914599,True
"(544.8297048863086, 684.51959361393324)",-0.642136056526,"(572.51602564102564, 651.46153846153845)",-0.2355947432,"(584.2803261977574, 667.36799184505605)",-0.946444880859,True
"(544.8297048863086, 684.51959361393324)",-0.642136056526,"(572.51602564102564, 651.46153846153845)",-0.2355947432,"(584.2803261977574, 667.36799184505605)",-0.946444880859,True
"(545.23293768545989, 684.27448071216622)",-0.645060214755,"(572.71069182389942, 651.13522012578619)",-0.280077340846,"(584.7131062951496, 667.03199174406598)",-0.966558304029,True
"(545.86887608069162, 683.58165225744472)",-0.642012859713,"(572.94513457556934, 650.95859213250515)",-0.2668706608,"(585.00995024875613, 666.69552238805966)",-0.971878710068,True
"(545.86887608069162, 683.58165225744472)",-0.641479630244,"(573.05031446540886, 650.93920335429766)",-0.275559077827,"(585.02976190476193, 666.67658730158723)",-0.967348284939,True
"(545.8967551622419, 683.69714847590944)",-0.644222148067,"(573.29617834394901, 650.76645435244154)",-0.268408168631,"(585.42645502645496, 666.35555555555561)",-0.999375568233,True
"(546.13501483679522, 683.62561819980215)",-0.647689061011,"(573.60142711518859, 650.41692150866459)",-0.268540775949,"(585.65861027190329, 666.15206445115803)",-0.944885378057,True
